gene_id,sample,counts,cell,dex,avgLength,gene_name,entrezid,gene_biotype,gene_seq_start,gene_seq_end,seq_name,seq_strand,seq_coord_system,symbol
ENSG00000000003,SRR1039508,679,N61311,untrt,126,TSPAN6,,protein_coding,99883667,99894988,X,-1,,TSPAN6
ENSG00000000003,SRR1039509,448,N61311,trt,126,TSPAN6,,protein_coding,99883667,99894988,X,-1,,TSPAN6
ENSG00000000003,SRR1039512,873,N052611,untrt,126,TSPAN6,,protein_coding,99883667,99894988,X,-1,,TSPAN6
ENSG00000000003,SRR1039513,408,N052611,trt,87,TSPAN6,,protein_coding,99883667,99894988,X,-1,,TSPAN6
ENSG00000000003,SRR1039516,1138,N080611,untrt,120,TSPAN6,,protein_coding,99883667,99894988,X,-1,,TSPAN6
ENSG00000000003,SRR1039517,1047,N080611,trt,126,TSPAN6,,protein_coding,99883667,99894988,X,-1,,TSPAN6
ENSG00000000003,SRR1039520,770,N061011,untrt,101,TSPAN6,,protein_coding,99883667,99894988,X,-1,,TSPAN6
ENSG00000000003,SRR1039521,572,N061011,trt,98,TSPAN6,,protein_coding,99883667,99894988,X,-1,,TSPAN6
ENSG00000000419,SRR1039508,467,N61311,untrt,126,DPM1,,protein_coding,49551404,49575092,20,-1,,DPM1
ENSG00000000419,SRR1039509,515,N61311,trt,126,DPM1,,protein_coding,49551404,49575092,20,-1,,DPM1
ENSG00000000419,SRR1039512,621,N052611,untrt,126,DPM1,,protein_coding,49551404,49575092,20,-1,,DPM1
ENSG00000000419,SRR1039513,365,N052611,trt,87,DPM1,,protein_coding,49551404,49575092,20,-1,,DPM1
ENSG00000000419,SRR1039516,587,N080611,untrt,120,DPM1,,protein_coding,49551404,49575092,20,-1,,DPM1
ENSG00000000419,SRR1039517,799,N080611,trt,126,DPM1,,protein_coding,49551404,49575092,20,-1,,DPM1
ENSG00000000419,SRR1039520,417,N061011,untrt,101,DPM1,,protein_coding,49551404,49575092,20,-1,,DPM1
ENSG00000000419,SRR1039521,508,N061011,trt,98,DPM1,,protein_coding,49551404,49575092,20,-1,,DPM1
ENSG00000000457,SRR1039508,260,N61311,untrt,126,SCYL3,,protein_coding,169818772,169863408,1,-1,,SCYL3
ENSG00000000457,SRR1039509,211,N61311,trt,126,SCYL3,,protein_coding,169818772,169863408,1,-1,,SCYL3
ENSG00000000457,SRR1039512,263,N052611,untrt,126,SCYL3,,protein_coding,169818772,169863408,1,-1,,SCYL3
ENSG00000000457,SRR1039513,164,N052611,trt,87,SCYL3,,protein_coding,169818772,169863408,1,-1,,SCYL3
ENSG00000000457,SRR1039516,245,N080611,untrt,120,SCYL3,,protein_coding,169818772,169863408,1,-1,,SCYL3
ENSG00000000457,SRR1039517,331,N080611,trt,126,SCYL3,,protein_coding,169818772,169863408,1,-1,,SCYL3
ENSG00000000457,SRR1039520,233,N061011,untrt,101,SCYL3,,protein_coding,169818772,169863408,1,-1,,SCYL3
ENSG00000000457,SRR1039521,229,N061011,trt,98,SCYL3,,protein_coding,169818772,169863408,1,-1,,SCYL3
ENSG00000000460,SRR1039508,60,N61311,untrt,126,C1orf112,,protein_coding,169631245,169823221,1,1,,C1orf112
ENSG00000000460,SRR1039509,55,N61311,trt,126,C1orf112,,protein_coding,169631245,169823221,1,1,,C1orf112
ENSG00000000460,SRR1039512,40,N052611,untrt,126,C1orf112,,protein_coding,169631245,169823221,1,1,,C1orf112
ENSG00000000460,SRR1039513,35,N052611,trt,87,C1orf112,,protein_coding,169631245,169823221,1,1,,C1orf112
ENSG00000000460,SRR1039516,78,N080611,untrt,120,C1orf112,,protein_coding,169631245,169823221,1,1,,C1orf112
ENSG00000000460,SRR1039517,63,N080611,trt,126,C1orf112,,protein_coding,169631245,169823221,1,1,,C1orf112
ENSG00000000460,SRR1039520,76,N061011,untrt,101,C1orf112,,protein_coding,169631245,169823221,1,1,,C1orf112
ENSG00000000460,SRR1039521,60,N061011,trt,98,C1orf112,,protein_coding,169631245,169823221,1,1,,C1orf112
ENSG00000000971,SRR1039508,3251,N61311,untrt,126,CFH,,protein_coding,196621008,196716634,1,1,,CFH
ENSG00000000971,SRR1039509,3679,N61311,trt,126,CFH,,protein_coding,196621008,196716634,1,1,,CFH
